G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
32,15,103.7,112.5,0.2819,49.9,55.4,16.4,20.9,30.7,31.7,41.6,48.4,50.8,55.2,32,37.3,69.7,-10.7,0,2014
30,12,92.1,106.4,0.1597,44.6,48.9,20,19.2,27.4,31.4,33.4,40.8,43.8,46.3,31.1,35.7,69.2,-13.6,0,2022
28,10,93.9,106.8,0.1863,43.6,54.3,17.6,17,29.5,25.8,25.4,33,43.9,53,28.7,37.7,68.7,-15.7,0,2022
33,21,99.9,98.1,0.5521,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,-4.8,0,2015
30,8,102.1,113.6,0.2272,50.9,56.9,19.5,19.4,26.9,31.4,38.1,48.4,48.4,57.3,37,37.6,73.8,-17.1,0,2017
29,17,111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,3,2021
22,12,108.3,108.8,0.4865,55.1,54.2,16.8,18.5,27.2,29.1,25.3,22.4,52.2,53.4,39.1,36.8,67.4,-6.8,0,2021
32,15,104.3,107.9,0.4042,48.7,53.1,19.9,18.6,31.6,33,36.2,37.7,47,51.3,35.1,37.9,71.1,-10.5,0,2017
32,11,88.6,102.5,0.1581,42.9,48.6,21.9,22.7,37.7,28.1,32.9,54.1,43.7,47.2,27.4,34.1,64.2,-16.9,0,2015
29,6,88.6,106.5,0.1078,43,50.5,22.5,22.7,31.6,37.4,32.7,42.2,41.9,49.3,30.3,35.4,69.6,-18.4,0,2013
31,14,106.2,101.5,0.628,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,49.1,48.8,31.7,32,68.8,-5.4,0,2019
31,14,100.6,103.8,0.4121,49.5,49.8,20,20.1,35.4,30.2,34.3,35.4,48.6,48.7,34.3,34.5,66.2,-11.3,0,2013
19,13,102.2,101.4,0.5232,51.4,49.7,20.4,18.6,31.6,23.3,30.1,38,50.2,47.7,35.4,35.4,68.3,-7.3,0,2021
32,14,94.5,99.3,0.3625,49.2,48.4,19.6,21.3,27.1,28.9,27.3,42.3,48.1,47.8,33.7,32.9,63.9,-13,0,2018
30,10,96.1,119.2,0.0779,46.7,56.5,18.5,18.9,29.4,32.8,35.9,33.6,45.7,57.8,32.7,36.3,71.9,-17.3,0,2018
22,5,93.4,103.6,0.2323,45.3,53,21.6,19.8,24.7,26.1,24.8,28.8,43.1,55.6,32.5,32,69.5,-13.7,0,2021
34,27,110.7,103.8,0.6759,55.9,50.6,16.9,16.8,26,22.6,41.8,25,53.8,49.9,39.9,34.6,65.2,-0.9,0,2018
33,19,122.4,102.6,0.8831,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38,52.1,52.1,38.5,35.8,72,1.3,1,2017
30,15,101.3,109.2,0.2968,51.3,51.6,18.7,17.8,22.3,30.8,29,38.3,49.3,52.8,36.4,33.3,68.5,-10.6,0,2022
32,23,109.7,99.5,0.7533,52.4,50.8,17.4,16.7,30.2,24.4,30.6,25.4,50.2,48.7,37.5,36,69.8,0.1,0,2023
31,15,105.9,99.4,0.6741,46.4,48.1,17.5,17.6,33.1,32.5,39.1,32.1,45.3,47.5,32.5,33.1,64.7,-5.2,0,2014
31,12,97.9,106.8,0.2683,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,46.9,51,34.8,35.9,67.3,-15.7,0,2019
29,12,98.2,106.4,0.2844,49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,50.1,49.8,32.3,36.2,69.1,-13.3,0,2017
28,17,99.3,98.2,0.5326,48.7,48.5,21.7,21.4,34.2,28,39.5,48.7,48.3,45.4,33.1,35,68.5,-7.2,0,2017
30,11,97.4,109,0.215,46.8,52.5,17.1,22.1,27,37,33.8,53.6,45.1,52.1,33.3,35.5,69.5,-12.6,0,2014
33,15,108.7,98.3,0.7618,50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,51.2,50.6,33.5,35,63.9,-3.8,0,2018
33,18,109.2,96.4,0.8061,54.2,49.7,18.3,18.3,26,22.9,28.9,29,56.2,48.8,34.1,34,66.7,-4.7,0,2022
29,9,92.8,103.5,0.2216,45.1,49.1,20,19.3,26.8,31.8,32.4,38.2,44.1,48.5,31.3,33.3,69.5,-16.2,0,2018
32,10,95.7,99.7,0.3854,44.6,51.4,20.1,20.9,32.7,32.4,34,40.4,42.6,48.7,32.6,37.5,64.8,-12.7,0,2013
34,19,105.9,96.4,0.7464,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,74.4,-5.6,0,2016
31,17,104.7,108.4,0.4008,52.5,50,18.1,18,29,34,37.1,32.8,53.8,47.5,33.2,36.4,67.6,-8.2,0,2014
33,14,107.3,99.8,0.6981,46.2,49,14,16.4,29,31.1,30.1,21.8,45.4,48.6,31.5,33.1,66.6,-5.7,0,2019
32,25,100.4,92.1,0.7287,48.3,43.6,20.8,22.8,32.6,30.6,38,47.1,46.9,41,34.2,31.6,68.2,-3.4,0,2017
29,5,94.5,118,0.072,50.3,53.7,20,13.3,24.2,32,28.2,33.1,46.5,55.4,37.6,34.3,66.5,-23.4,0,2019
37,24,114.4,98.4,0.8499,51.6,48.7,18.1,18.7,31.4,31.2,39.7,40.2,50.6,47.1,35.5,34.4,65,0.5,0,2014
39,32,119.9,91,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,6,2019
33,21,104.5,110.3,0.3494,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,68,-9.3,2,2019
30,21,102,103.1,0.4675,48.9,51.1,17.9,20.2,29.1,28.2,34.8,25.7,48.4,48.4,33.4,37.3,66,-5,2,2022
20,15,103.3,102.6,0.5186,53.7,46.5,20.6,17,29.1,29.7,34.6,27,51.5,48.6,37.9,28.9,74,-3.9,0,2021
34,16,109,100.7,0.7133,50.3,50.1,17.4,19.7,31.8,28.1,32.6,39.7,49.4,47.5,34.7,36.7,68.2,-5.5,0,2016
